<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;231218;090000;196.09;196.63;194.4;194.95;615903
AAPL;60;231218;100000;194.96;195.58;194.63;194.96;388218
AAPL;60;231218;110000;194.94;195.29;194.66;194.84;245858
AAPL;60;231218;120000;194.85;195.46;194.82;195.46;179003
AAPL;60;231218;130000;195.47;196.22;195.47;196.2;211292
AAPL;60;231218;140000;196.21;196.48;196.015;196.25;234968
AAPL;60;231218;150000;196.27;196.44;195.78;195.87;380350
AAPL;60;231219;090000;196.2;196.65;195.9;196.57;225478
AAPL;60;231219;100000;196.58;196.835;196.05;196.72;257178
AAPL;60;231219;110000;196.73;196.94;196.235;196.285;241174
AAPL;60;231219;120000;196.28;196.34;195.97;196.24;134838
AAPL;60;231219;130000;196.24;196.3;195.97;196.09;128413
AAPL;60;231219;140000;196.1;196.17;195.99;196.1;133337
AAPL;60;231219;150000;196.1;196.95;196;196.93;344284
AAPL;60;231220;090000;196.9;197.67;196.695;197.54;316061
AAPL;60;231220;100000;197.5;197.66;197.23;197.38;245306
AAPL;60;231220;110000;197.38;197.44;197.03;197.3;187799
AAPL;60;231220;120000;197.31;197.43;197.22;197.42;121068
AAPL;60;231220;130000;197.42;197.56;197.18;197.23;131778
AAPL;60;231220;140000;197.21;197.33;195.69;195.72;381197
AAPL;60;231220;150000;195.73;196.18;194.86;194.87;780856
AAPL;60;231221;090000;196.18;197.07;195.7;195.79;243042
AAPL;60;231221;100000;195.78;195.82;194.3;194.44;416840
AAPL;60;231221;110000;194.44;194.97;194.35;194.45;257061
AAPL;60;231221;120000;194.48;194.52;193.67;193.75;322695
AAPL;60;231221;130000;193.745;194.23;193.5;194.06;246285
AAPL;60;231221;140000;194.06;194.35;193.78;193.86;195406
AAPL;60;231221;150000;193.88;194.98;193.765;194.69;430120
AAPL;60;231221;160000;194.68;194.68;194.68;194.68;100
