<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;231222;090000;195.18;195.4;194.44;195.22;272493
AAPL;60;231222;100000;195.23;195.29;194.33;194.33;278515
AAPL;60;231222;110000;194.33;194.36;194.02;194.14;188568
AAPL;60;231222;120000;194.16;194.31;193.85;194.25;175646
AAPL;60;231222;130000;194.26;194.46;193.99;193.99;146860
AAPL;60;231222;140000;194;194.01;192.97;193.79;259063
AAPL;60;231222;150000;193.81;193.98;193.49;193.68;425959
AAPL;60;231226;090000;193.61;193.88;192.99;193.24;190719
AAPL;60;231226;100000;193.24;193.44;192.9;193.21;150885
AAPL;60;231226;110000;193.21;193.295;192.9;193.24;96287
AAPL;60;231226;120000;193.165;193.33;193.03;193.18;107300
AAPL;60;231226;130000;193.18;193.35;192.84;192.89;92760
AAPL;60;231226;140000;192.88;193.13;192.88;193.05;93208
AAPL;60;231226;150000;193.07;193.49;192.92;193.05;313644
AAPL;60;231227;090000;192.47;192.89;192.38;192.45;157091
AAPL;60;231227;100000;192.48;192.54;191.1;191.68;344470
AAPL;60;231227;110000;191.68;192.17;191.1;192.14;266251
AAPL;60;231227;120000;192.16;192.75;192.12;192.64;209535
AAPL;60;231227;130000;192.65;193.49;192.65;193.39;232532
AAPL;60;231227;140000;193.36;193.36;192.78;192.95;225217
AAPL;60;231227;150000;192.925;193.22;192.73;193.18;358889
AAPL;60;231228;090000;194.09;194.66;193.985;194.1;210069
AAPL;60;231228;100000;194.09;194.48;193.73;194.22;227306
AAPL;60;231228;110000;194.205;194.215;193.9;194.125;143347
AAPL;60;231228;120000;194.1;194.34;193.9;193.97;107544
AAPL;60;231228;130000;193.97;193.98;193.59;193.88;154131
AAPL;60;231228;140000;193.895;194.08;193.89;193.975;113583
AAPL;60;231228;150000;193.97;193.97;193.17;193.58;537072
AAPL;60;231229;090000;193.91;194.39;193.45;193.5;121186
AAPL;60;231229;100000;193.51;193.54;192.67;192.755;187802
AAPL;60;231229;110000;192.76;192.855;191.89;192.33;205912
AAPL;60;231229;120000;192.31;192.48;191.74;191.96;272497
AAPL;60;231229;130000;191.95;192.415;191.875;192.37;182297
AAPL;60;231229;140000;192.37;192.54;192.1;192.48;122595
AAPL;60;231229;150000;192.48;193;192.18;192.52;604670
AAPL;60;240102;090000;187.18;188.44;186.01;186.52;784019
AAPL;60;240102;100000;186.51;186.95;185.2;185.89;478005
AAPL;60;240102;110000;185.87;187.35;185.87;186.75;294504
AAPL;60;240102;120000;186.8;187.04;185.87;185.87;236286
AAPL;60;240102;130000;185.89;185.95;184.75;184.9;249095
AAPL;60;240102;140000;184.9;184.97;184.02;184.05;276939
AAPL;60;240102;150000;184.06;185.64;183.89;185.55;760125
AAPL;60;240103;090000;184.34;185.87;183.97;184.8;385994
AAPL;60;240103;100000;184.75;185.29;183.46;183.86;417058
AAPL;60;240103;110000;183.88;184.37;183.5;183.53;283002
AAPL;60;240103;120000;183.5;184.35;183.43;184.33;144515
AAPL;60;240103;130000;184.33;184.55;184.19;184.33;138381
AAPL;60;240103;140000;184.35;184.93;183.805;184.62;192797
AAPL;60;240103;150000;184.675;184.71;183.75;184.24;377080
AAPL;60;240103;160000;184.24;184.24;184.24;184.24;100
AAPL;60;240104;090000;182.15;183.05;181.23;181.48;493084
AAPL;60;240104;100000;181.48;182.14;180.89;181.49;494338
AAPL;60;240104;110000;181.51;182.44;181.325;181.44;328174
AAPL;60;240104;120000;181.43;182.39;181.43;182.24;228147
AAPL;60;240104;130000;182.23;183.06;182.19;182.76;182356
AAPL;60;240104;140000;182.78;182.96;182.265;182.3;191567
AAPL;60;240104;150000;182.31;182.54;181.43;181.92;642016
AAPL;60;240105;090000;181.96;182.76;181.53;181.67;281931
AAPL;60;240105;100000;181.71;182.65;181.71;182.65;385317
AAPL;60;240105;110000;182.66;182.73;181.915;182.1;223786
AAPL;60;240105;120000;182.095;182.22;181.28;181.6;216823
AAPL;60;240105;130000;181.585;182.21;181.23;182.04;228872
AAPL;60;240105;140000;182.05;182.17;180.42;180.49;499514
AAPL;60;240105;150000;180.48;181.24;180.17;181.17;448823
AAPL;60;240105;160000;181.18;181.18;181.18;181.18;200
AAPL;60;240108;090000;182.13;183.5;181.5;183.42;338759
AAPL;60;240108;100000;183.41;183.88;183.31;183.54;315752
AAPL;60;240108;110000;183.61;183.85;183.22;183.84;240492
AAPL;60;240108;120000;183.84;184.565;183.84;184.26;230092
AAPL;60;240108;130000;184.24;184.71;184.02;184.71;123531
AAPL;60;240108;140000;184.72;185.32;184.55;185.17;186579
AAPL;60;240108;150000;185.15;185.59;184.91;185.54;491486
AAPL;60;240109;090000;183.92;184.23;182.73;183.27;326507
AAPL;60;240109;100000;183.255;183.98;182.98;183.5;226696
AAPL;60;240109;110000;183.51;184.79;183.51;184.79;199273
AAPL;60;240109;120000;184.82;184.82;184.38;184.72;101530
AAPL;60;240109;130000;184.72;184.92;184.045;184.475;162746
AAPL;60;240109;140000;184.49;184.685;184.22;184.615;128671
AAPL;60;240109;150000;184.62;185.15;184.41;185.11;410933
AAPL;60;240109;160000;185.11;185.12;185.11;185.12;500
AAPL;60;240110;090000;184.29;184.95;183.97;184.26;242916
AAPL;60;240110;100000;184.26;184.8;183.94;184.77;204582
AAPL;60;240110;110000;184.77;185.01;184.06;184.28;191597
AAPL;60;240110;120000;184.24;184.39;184.08;184.31;96754
AAPL;60;240110;130000;184.35;184.84;184.13;184.79;124882
AAPL;60;240110;140000;184.79;186.13;184.78;186.11;245741
AAPL;60;240110;150000;186.12;186.395;185.28;186.14;466621
AAPL;60;240111;090000;186.6;187.05;184.61;184.73;458342
AAPL;60;240111;100000;184.75;184.88;183.62;184.7;466473
AAPL;60;240111;110000;184.755;184.86;183.84;183.94;246012
AAPL;60;240111;120000;183.95;184.58;183.92;184.325;157428
AAPL;60;240111;130000;184.3;185.17;184.27;185.16;191298
AAPL;60;240111;140000;185.16;185.7;185.01;185.54;238702
AAPL;60;240111;150000;185.55;185.77;184.76;185.59;392882
AAPL;60;240112;090000;186.07;186.74;185.73;185.74;219803
AAPL;60;240112;100000;185.79;186.3;185.19;185.7;306008
AAPL;60;240112;110000;185.72;186.05;185.39;185.56;227929
AAPL;60;240112;120000;185.57;185.84;185.44;185.63;151573
AAPL;60;240112;130000;185.63;185.93;185.59;185.9;114250
AAPL;60;240112;140000;185.89;186.055;185.265;185.29;212438
AAPL;60;240112;150000;185.31;185.98;185.22;185.91;336862
AAPL;60;240116;090000;182.21;182.66;180.94;181.34;462588
AAPL;60;240116;100000;181.355;183.9;181.05;183.77;648401
AAPL;60;240116;110000;183.8;184.25;182.77;182.91;500688
AAPL;60;240116;120000;182.88;182.95;182.23;182.26;282469
AAPL;60;240116;130000;182.25;182.94;182.21;182.4;231676
AAPL;60;240116;140000;182.4;182.93;182.14;182.9;251230
AAPL;60;240116;150000;182.89;183.63;182.84;183.61;366025
AAPL;60;240117;090000;181.27;181.55;180.31;181.27;443777
AAPL;60;240117;100000;181.24;181.85;181.19;181.49;320038
AAPL;60;240117;110000;181.49;182.06;181.485;181.73;273527
AAPL;60;240117;120000;181.74;182.325;181.74;182.24;224637
AAPL;60;240117;130000;182.26;182.53;181.38;182.08;339948
AAPL;60;240117;140000;182.065;182.68;182.01;182.19;272116
AAPL;60;240117;150000;182.2;182.93;182.06;182.66;352996
AAPL;60;240118;090000;186.09;187.64;185.84;187.37;651652
AAPL;60;240118;100000;187.36;188.155;186.6;188.075;558664
AAPL;60;240118;110000;188.09;188.78;187.57;188.47;427727
AAPL;60;240118;120000;188.51;188.52;187.51;187.84;370677
AAPL;60;240118;130000;187.86;188.26;186.755;188.17;397074
AAPL;60;240118;140000;188.18;189.14;188.18;188.97;332110
AAPL;60;240118;150000;188.98;189.125;188.51;188.71;453535
AAPL;60;240119;090000;189.33;189.87;188.82;189.63;402373
AAPL;60;240119;100000;189.59;190.15;188.92;189.79;509457
AAPL;60;240119;110000;189.78;190.05;189.34;189.98;286050
AAPL;60;240119;120000;190;190.64;189.9;190.56;384552
AAPL;60;240119;130000;190.57;191.44;190.5;191.42;305489
AAPL;60;240119;140000;191.445;191.94;191.18;191.66;371289
AAPL;60;240119;150000;191.65;191.81;191.32;191.56;411518
AAPL;60;240122;090000;192.3;194.72;192.26;194.46;397769
AAPL;60;240122;100000;194.465;195.32;193.32;193.42;629870
AAPL;60;240122;110000;193.45;193.98;193.16;193.69;278115
AAPL;60;240122;120000;193.715;194.06;193.03;193.94;258827
AAPL;60;240122;130000;193.92;194.49;193.67;194.49;287636
AAPL;60;240122;140000;194.48;194.56;193.95;194.07;267677
AAPL;60;240122;150000;194.09;194.1;193.47;193.88;427195
AAPL;60;240123;090000;195.02;195.7;194.68;194.8;327213
AAPL;60;240123;100000;194.8;194.85;193.83;194.3;307819
AAPL;60;240123;110000;194.3;194.715;194.18;194.65;209940
AAPL;60;240123;120000;194.63;195.19;194.5;195.14;162429
AAPL;60;240123;130000;195.15;195.22;194.75;194.8;186657
AAPL;60;240123;140000;194.83;195.03;194.575;194.95;157487
AAPL;60;240123;150000;194.95;195.25;194.66;195.15;428253
AAPL;60;240124;090000;195.42;196.36;194.92;195.08;298436
AAPL;60;240124;100000;195.05;196.33;194.68;195.93;405646
AAPL;60;240124;110000;195.91;195.97;195.28;195.86;277214
AAPL;60;240124;120000;195.86;196.07;195.52;195.75;234210
AAPL;60;240124;130000;195.74;195.74;195.15;195.28;396678
AAPL;60;240124;140000;195.29;195.38;194.69;194.91;347172
AAPL;60;240124;150000;194.9;195.13;194.35;194.51;533316
AAPL;60;240124;160000;194.51;194.51;194.51;194.51;700
AAPL;60;240125;090000;195.18;195.61;194.71;194.83;264310
AAPL;60;240125;100000;194.82;195.625;194.64;195.46;403789
AAPL;60;240125;110000;195.48;196.265;195.17;195.96;341685
AAPL;60;240125;120000;195.96;196.05;195.53;195.815;319567
AAPL;60;240125;130000;195.81;195.95;194.06;194.13;602446
AAPL;60;240125;140000;194.11;194.11;193.13;193.56;380324
AAPL;60;240125;150000;193.53;194.31;193.45;194.19;534303
AAPL;60;240126;090000;194.27;194.64;193.76;194.64;212841
AAPL;60;240126;100000;194.6;194.76;194.21;194.51;240794
AAPL;60;240126;110000;194.535;194.565;193.92;194.03;217392
AAPL;60;240126;120000;194.02;194.06;192.47;192.48;276937
AAPL;60;240126;130000;192.43;192.76;192.27;192.46;221751
AAPL;60;240126;140000;192.43;192.96;192.34;192.91;185827
AAPL;60;240126;150000;192.93;192.97;191.94;192.36;505585
AAPL;60;240129;090000;192.01;192.17;189.58;190.76;343215
AAPL;60;240129;100000;190.78;191.25;190.49;190.59;277574
AAPL;60;240129;110000;190.575;191.02;190.41;190.78;166525
AAPL;60;240129;120000;190.79;191.16;190.74;191.07;138908
AAPL;60;240129;130000;191.07;191.38;190.94;191.27;118394
AAPL;60;240129;140000;191.27;191.66;191.25;191.37;174185
AAPL;60;240129;150000;191.38;192.195;191.38;191.8;486868
AAPL;60;240130;090000;190.81;191.8;190.7;191.11;232354
AAPL;60;240130;100000;191.1;191.17;188.24;188.5;554589
AAPL;60;240130;110000;188.49;188.93;187.87;188.75;310183
AAPL;60;240130;120000;188.74;188.93;187.87;187.87;261810
AAPL;60;240130;130000;187.87;188.635;187.68;188.03;195358
AAPL;60;240130;140000;188.02;188.27;187.48;188.23;200465
AAPL;60;240130;150000;188.23;188.27;187.8;187.98;464709
AAPL;60;240131;090000;187.07;187.07;184.8;185.13;347174
AAPL;60;240131;100000;185.18;185.77;184.9;185.29;230143
AAPL;60;240131;110000;185.295;185.86;185.295;185.69;135446
AAPL;60;240131;120000;185.695;186.34;185.62;186.31;145676
AAPL;60;240131;130000;186.33;186.52;186.075;186.18;143268
AAPL;60;240131;140000;186.165;186.93;185.26;185.97;334149
AAPL;60;240131;150000;186;186.02;184.43;184.43;675567
AAPL;60;240201;090000;184.01;185.64;183.82;185.48;293242
AAPL;60;240201;100000;185.46;186.3;184.92;185.36;367687
AAPL;60;240201;110000;185.37;186.065;185.32;185.68;226722
AAPL;60;240201;120000;185.68;186.44;185.65;186.12;277414
AAPL;60;240201;130000;186.13;186.19;185.27;185.79;223372
AAPL;60;240201;140000;185.815;186.62;185.56;186.47;294880
AAPL;60;240201;150000;186.475;186.91;186.28;186.86;587574
AAPL;60;240202;090000;179.92;183.71;179.25;182.51;1091596
AAPL;60;240202;100000;182.47;185.94;182.44;185.65;743431
AAPL;60;240202;110000;185.67;187.32;185.13;186.33;573054
AAPL;60;240202;120000;186.29;187.11;185.12;185.29;431849
AAPL;60;240202;130000;185.3;186.23;184.86;185.92;327745
AAPL;60;240202;140000;185.94;187.01;185.6;186.99;309516
AAPL;60;240202;150000;187;187.07;185.83;185.84;666322
AAPL;60;240205;090000;188.18;188.26;185.85;186.59;519095
AAPL;60;240205;100000;186.56;188.35;186.11;186.895;591531
AAPL;60;240205;110000;186.88;188.1;186.79;187.99;360008
AAPL;60;240205;120000;187.98;189.25;187.89;189.07;486088
AAPL;60;240205;130000;189.065;189.07;188.53;188.72;259119
AAPL;60;240205;140000;188.7;188.89;188.37;188.5;276700
AAPL;60;240205;150000;188.52;188.63;187.64;187.69;456753
AAPL;60;240206;090000;186.85;188.62;186.8;187.95;223088
AAPL;60;240206;100000;187.95;188.3;187.29;187.73;322257
AAPL;60;240206;110000;187.71;189.01;187.71;188.81;270379
AAPL;60;240206;120000;188.81;189.13;188.44;188.53;225418
AAPL;60;240206;130000;188.54;189;188.52;188.77;151925
AAPL;60;240206;140000;188.79;188.81;188.24;188.57;167740
AAPL;60;240206;150000;188.58;189.31;188.17;189.29;370154
AAPL;60;240207;090000;190.65;191.03;188.845;188.99;302202
AAPL;60;240207;100000;189.005;190.395;188.62;189.66;429527
AAPL;60;240207;110000;189.69;189.72;188.81;189.13;275156
AAPL;60;240207;120000;189.14;189.215;188.65;189.01;196544
AAPL;60;240207;130000;189.01;189.29;188.73;189.2;230574
AAPL;60;240207;140000;189.2;189.41;188.89;189.26;227174
AAPL;60;240207;150000;189.26;189.42;188.935;189.41;487869
AAPL;60;240208;090000;189.35;189.53;188.71;188.95;251892
AAPL;60;240208;100000;188.95;188.95;187.36;188.11;435159
AAPL;60;240208;110000;188.11;188.4;187.84;188.4;233512
AAPL;60;240208;120000;188.41;188.74;188.06;188.08;178137
AAPL;60;240208;130000;188.09;188.35;188;188.15;210831
AAPL;60;240208;140000;188.15;188.29;188;188.17;209765
AAPL;60;240208;150000;188.18;188.44;188.085;188.34;354757
AAPL;60;240209;090000;188.65;188.92;188;188.67;203157
AAPL;60;240209;100000;188.67;188.83;188.355;188.67;318300
AAPL;60;240209;110000;188.69;189.99;188.68;189.77;518113
AAPL;60;240209;120000;189.77;189.83;189.11;189.65;308252
AAPL;60;240209;130000;189.64;189.65;189.04;189.07;240922
AAPL;60;240209;140000;189.075;189.075;188.705;188.92;217680
AAPL;60;240209;150000;188.96;188.96;188.57;188.84;372433
AAPL;60;240212;090000;188.4;188.66;187.44;187.97;281922
AAPL;60;240212;100000;187.985;188.05;187.39;187.79;241553
AAPL;60;240212;110000;187.79;188.17;187.69;188;164033
AAPL;60;240212;120000;187.96;188.2;187.7;188.15;139052
AAPL;60;240212;130000;188.16;188.36;187.56;187.99;204310
AAPL;60;240212;140000;187.985;188.02;186.92;187;225342
AAPL;60;240212;150000;186.96;187.45;186.79;187.18;365436
AAPL;60;240213;090000;185.82;186.2;184.18;185.17;399426
AAPL;60;240213;100000;185.16;186.175;184.77;185.85;378891
AAPL;60;240213;110000;185.85;186.02;185.28;185.41;231181
AAPL;60;240213;120000;185.41;185.77;185.11;185.16;164895
AAPL;60;240213;130000;185.14;185.42;184.97;185;162458
AAPL;60;240213;140000;184.99;184.99;183.8;183.83;285771
AAPL;60;240213;150000;183.855;185.2;183.52;185.02;630270
AAPL;60;240214;090000;185.28;185.46;183.92;184.02;263969
AAPL;60;240214;100000;184.05;184.27;183.11;183.18;507437
AAPL;60;240214;110000;183.18;183.595;182.81;183;336369
AAPL;60;240214;120000;183.01;183.01;182.53;182.71;244977
AAPL;60;240214;130000;182.72;183.155;182.44;182.94;253723
AAPL;60;240214;140000;182.96;183.205;182.49;182.92;266697
AAPL;60;240214;150000;182.92;184.26;182.83;184.02;545663
AAPL;60;240215;090000;183.55;184.07;181.93;182.08;398883
AAPL;60;240215;100000;182.09;182.66;181.4;182.02;493842
AAPL;60;240215;110000;182.02;182.16;181.55;181.74;228647
AAPL;60;240215;120000;181.74;182.24;181.65;181.81;197572
AAPL;60;240215;130000;181.79;182.45;181.67;182.12;276334
AAPL;60;240215;140000;182.12;182.36;181.75;182.35;255316
AAPL;60;240215;150000;182.36;184.48;182.1;183.95;912137
AAPL;60;240216;090000;183.42;184.85;182.28;182.35;269425
AAPL;60;240216;100000;182.3;183.35;181.87;183.05;482568
AAPL;60;240216;110000;183.08;183.435;182.85;183.1;232601
AAPL;60;240216;120000;183.09;183.14;182.64;182.74;148835
AAPL;60;240216;130000;182.73;182.9;182.485;182.9;221723
AAPL;60;240216;140000;182.92;183.19;182.03;182.2;236885
AAPL;60;240216;150000;182.19;182.4;181.68;182.29;408874
AAPL;60;240220;090000;181.845;182.42;180.69;180.82;378283
AAPL;60;240220;100000;180.81;180.82;180.005;180.74;391865
AAPL;60;240220;110000;180.7;181.36;180.7;181.08;270263
AAPL;60;240220;120000;181.06;181.1;180.5;180.75;196086
AAPL;60;240220;130000;180.77;180.93;180.4;180.73;184162
AAPL;60;240220;140000;180.73;180.91;180.43;180.89;186334
AAPL;60;240220;150000;180.92;181.66;180.86;181.61;521520
AAPL;60;240221;090000;182.04;182.88;181.555;182.54;274999
AAPL;60;240221;100000;182.55;182.84;182.14;182.14;271162
AAPL;60;240221;110000;182.16;182.58;181.98;182.14;234086
AAPL;60;240221;120000;182.11;182.12;181.18;181.55;197775
AAPL;60;240221;130000;181.53;181.7;181.06;181.31;192761
AAPL;60;240221;140000;181.28;181.46;180.68;181.04;306081
AAPL;60;240221;150000;180.98;182.39;180.96;182.34;448494
AAPL;60;240222;090000;183.43;184.19;182.54;183.12;346181
AAPL;60;240222;100000;183.17;183.48;182.71;182.81;321834
AAPL;60;240222;110000;182.85;183.26;182.47;182.95;222923
AAPL;60;240222;120000;182.94;183.64;182.74;183.6;154411
AAPL;60;240222;130000;183.62;184.28;183.54;184.2;286766
AAPL;60;240222;140000;184.21;184.95;184.21;184.55;339925
AAPL;60;240222;150000;184.51;184.84;184.18;184.36;636175
AAPL;60;240223;090000;185.01;185.01;183.75;183.89;271591
AAPL;60;240223;100000;183.88;183.92;182.99;183.4;429859
AAPL;60;240223;110000;183.4;183.4;182.65;182.9;287530
AAPL;60;240223;120000;182.91;183.025;182.31;182.8;253773
AAPL;60;240223;130000;182.81;182.97;182.61;182.72;268733
AAPL;60;240223;140000;182.73;182.76;182.44;182.61;220666
AAPL;60;240223;150000;182.6;182.82;182.44;182.49;418217
AAPL;60;240226;090000;182.24;182.75;181.15;181.51;285844
AAPL;60;240226;100000;181.5;181.85;181.2;181.24;234911
AAPL;60;240226;110000;181.225;181.26;180.74;181.21;247042
AAPL;60;240226;120000;181.2;181.2;180.65;180.79;166601
AAPL;60;240226;130000;180.79;181.39;180.72;181.39;190996
AAPL;60;240226;140000;181.42;181.78;181.34;181.49;177390
AAPL;60;240226;150000;181.48;181.61;181.08;181.14;300613
AAPL;60;240227;090000;181.1;181.52;180.3;180.94;262998
AAPL;60;240227;100000;180.92;181.67;180.72;181.08;207846
AAPL;60;240227;110000;181.05;181.1;180.73;180.83;113104
AAPL;60;240227;120000;180.83;181.005;180.11;180.18;138531
AAPL;60;240227;130000;180.18;180.47;179.61;180.47;218797
AAPL;60;240227;140000;180.46;183.92;180.43;182.94;715810
AAPL;60;240227;150000;182.96;183;182.18;182.63;478334
AAPL;60;240228;090000;181.96;182.12;181.13;181.31;209953
AAPL;60;240228;100000;181.27;181.88;180.96;181.3;337726
AAPL;60;240228;110000;181.3;181.76;181.16;181.24;253387
AAPL;60;240228;120000;181.24;181.39;180.2;180.22;361255
AAPL;60;240228;130000;180.21;180.87;180.13;180.85;228166
AAPL;60;240228;140000;180.89;180.925;180.36;180.72;173368
AAPL;60;240228;150000;180.72;181.47;180.55;181.46;422457
AAPL;60;240229;090000;181.36;182.56;181.18;181.5;369586
AAPL;60;240229;100000;181.51;182.13;180.72;180.95;512975
AAPL;60;240229;110000;180.945;180.945;179.54;180.13;586320
AAPL;60;240229;120000;180.1;180.31;179.65;180.14;433143
AAPL;60;240229;130000;180.145;180.8;179.68;180.09;469037
AAPL;60;240229;140000;180.08;180.47;179.87;180.19;424725
AAPL;60;240229;150000;180.2;181.11;179.57;180.6;1389909
AAPL;60;240301;090000;179.55;180.52;179.07;179.24;359010
AAPL;60;240301;100000;179.25;179.88;177.675;178.31;681886
AAPL;60;240301;110000;178.295;178.47;177.73;177.94;401746
AAPL;60;240301;120000;177.93;178.65;177.39;178.52;437061
AAPL;60;240301;130000;178.54;179.38;178.35;179.31;400134
AAPL;60;240301;140000;179.32;180.22;179.31;180;421505
AAPL;60;240301;150000;180.005;180.01;179.425;179.65;513473
AAPL;60;240304;090000;176.17;176.89;174.63;174.98;647111
AAPL;60;240304;100000;174.96;174.995;173.91;174.83;674007
AAPL;60;240304;110000;174.84;175.01;174.11;174.12;516136
AAPL;60;240304;120000;174.13;174.69;174.01;174.055;410132
AAPL;60;240304;130000;174.05;174.505;173.795;174.21;400857
AAPL;60;240304;140000;174.2;175.64;173.985;175.34;438135
AAPL;60;240304;150000;175.33;175.47;174.96;175.08;594946
AAPL;60;240305;090000;170.79;172.02;170.08;170.48;783079
AAPL;60;240305;100000;170.5;171;169.64;170.41;949945
AAPL;60;240305;110000;170.41;170.81;169.86;170.26;434310
AAPL;60;240305;120000;170.25;170.89;170.11;170.3;335238
AAPL;60;240305;130000;170.3;170.76;169.955;169.99;358513
AAPL;60;240305;140000;169.98;170.38;169.79;170.05;361722
AAPL;60;240305;150000;170.05;170.24;169.82;170.17;743546
AAPL;60;240306;090000;171.19;171.23;168.93;169.8;551185
AAPL;60;240306;100000;169.79;170.04;168.98;169.54;509282
AAPL;60;240306;110000;169.55;170.005;169.325;169.74;348533
AAPL;60;240306;120000;169.75;170.35;169.71;170.12;335985
AAPL;60;240306;130000;170.07;170.22;169.04;169.39;296378
AAPL;60;240306;140000;169.37;169.39;168.69;168.83;390405
AAPL;60;240306;150000;168.81;169.38;168.75;169.13;579933
AAPL;60;240307;090000;169.28;169.78;168.5;169.72;398680
AAPL;60;240307;100000;169.71;169.73;168.62;168.75;384293
AAPL;60;240307;110000;168.78;169.53;168.62;169.22;381380
AAPL;60;240307;120000;169.225;169.6;169;169.11;345169
AAPL;60;240307;130000;169.11;170.6;168.99;170.57;518784
AAPL;60;240307;140000;170.565;170.72;169.78;170.24;337365
AAPL;60;240307;150000;170.23;170.23;168.91;168.99;624179
AAPL;60;240308;090000;169;170.86;168.96;170.74;334451
AAPL;60;240308;100000;170.74;171.89;170.65;171.365;447768
AAPL;60;240308;110000;171.36;172.47;170.93;171.49;671099
AAPL;60;240308;120000;171.49;172.78;171.37;171.83;516219
AAPL;60;240308;130000;171.83;172.49;171.71;172.42;322806
AAPL;60;240308;140000;172.435;173.69;172.4;172.705;490093
AAPL;60;240308;150000;172.715;172.97;170.73;170.73;814842
AAPL;60;240311;090000;172.95;174.38;172.74;173.82;670351
AAPL;60;240311;100000;173.79;173.99;172.3;172.48;562768
AAPL;60;240311;110000;172.44;173.315;172.3;173.02;373173
AAPL;60;240311;120000;173.05;173.15;172.56;172.6;208824
AAPL;60;240311;130000;172.61;173.42;172.05;172.6;294576
AAPL;60;240311;140000;172.65;172.9;172.37;172.88;157418
AAPL;60;240311;150000;172.87;173.06;172.44;172.79;514077
AAPL;60;240312;090000;173.15;173.44;171.02;171.47;413631
AAPL;60;240312;100000;171.48;172.9;171.46;172.61;404544
AAPL;60;240312;110000;172.63;172.91;172.34;172.59;247517
AAPL;60;240312;120000;172.59;173.09;171.95;172.53;340901
AAPL;60;240312;130000;172.52;173.49;172.39;173.265;320415
AAPL;60;240312;140000;173.27;173.96;173.19;173.73;237744
AAPL;60;240312;150000;173.75;174.03;173.15;173.23;559111
AAPL;60;240313;090000;172.77;173.15;171.57;171.66;292475
AAPL;60;240313;100000;171.7;171.7;170.77;171.04;444058
AAPL;60;240313;110000;171.04;171.21;170.87;171.04;206649
AAPL;60;240313;120000;171.04;171.14;170.86;171.02;169387
AAPL;60;240313;130000;171.03;171.53;171.01;171.5;205182
AAPL;60;240313;140000;171.49;171.8;171.44;171.65;158132
AAPL;60;240313;150000;171.67;171.73;171.04;171.18;549553
AAPL;60;240314;090000;172.91;173.27;172.07;172.82;515805
AAPL;60;240314;100000;172.73;173.88;172.385;173.84;567308
AAPL;60;240314;110000;173.85;174.3;173.06;173.175;473398
AAPL;60;240314;120000;173.185;173.35;172.3;172.37;340083
AAPL;60;240314;130000;172.37;173.86;172.25;173.695;579212
AAPL;60;240314;140000;173.71;174;172.89;172.92;344919
AAPL;60;240314;150000;172.91;173.27;172.23;173.09;971784
AAPL;60;240315;090000;171.17;172.48;171.17;171.44;563706
AAPL;60;240315;100000;171.43;171.605;170.285;170.7;569043
AAPL;60;240315;110000;170.7;171.16;170.62;170.98;412881
AAPL;60;240315;120000;170.98;171.515;170.67;170.7;330225
AAPL;60;240315;130000;170.705;171.13;170.53;171.12;306250
AAPL;60;240315;140000;171.11;171.52;170.81;171.52;507989
AAPL;60;240315;150000;171.51;172.6;171.47;172.56;669279
AAPL;60;240318;090000;175.57;177.56;174.89;176.77;911840
AAPL;60;240318;100000;176.77;177.69;176.59;177.18;584106
AAPL;60;240318;110000;177.2;177.32;175.62;175.65;353194
