<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230427;140000;167.25;167.94;167.14;167.86;295346
AAPL;60;230427;150000;167.87;168.53;167.83;168.44;1003737
AAPL;60;230428;090000;168.45;169.03;167.89;168.51;296620
AAPL;60;230428;100000;168.49;169.85;168.24;168.78;554148
AAPL;60;230428;110000;168.79;168.825;168.03;168.75;297492
AAPL;60;230428;120000;168.77;168.96;168.33;168.84;181323
AAPL;60;230428;130000;168.83;168.88;168.16;168.33;214748
AAPL;60;230428;140000;168.34;168.585;168.13;168.57;249349
AAPL;60;230428;150000;168.57;169.71;168.53;169.68;659327
AAPL;60;230428;160000;169.69;169.69;169.69;169.69;100
AAPL;60;230501;090000;169.28;170.29;169.03;169.47;300909
AAPL;60;230501;100000;169.36;169.66;168.64;169.525;299123
AAPL;60;230501;110000;169.515;169.83;168.93;169.64;212038
AAPL;60;230501;120000;169.615;170.415;169.59;170.35;218026
AAPL;60;230501;130000;170.35;170.44;170.08;170.16;168606
AAPL;60;230501;140000;170.14;170.17;169.21;169.53;250900
AAPL;60;230501;150000;169.54;169.9;169.26;169.59;465095
AAPL;60;230502;090000;170.09;170.35;169.42;169.77;258943
AAPL;60;230502;100000;169.83;169.9;168.03;168.26;531814
AAPL;60;230502;110000;168.26;168.37;167.55;167.62;451120
AAPL;60;230502;120000;167.64;168.51;167.55;168.4;195098
AAPL;60;230502;130000;168.38;168.94;168.34;168.7;177903
AAPL;60;230502;140000;168.7;169.04;168.345;168.99;156173
AAPL;60;230502;150000;169.01;169.27;168.4;168.55;475388
AAPL;60;230503;090000;169.52;170.88;169.5;170.8;379080
AAPL;60;230503;100000;170.75;170.92;169.57;169.62;357474
AAPL;60;230503;110000;169.62;169.91;169.18;169.9;229988
AAPL;60;230503;120000;169.94;170.16;169.525;169.98;146197
AAPL;60;230503;130000;169.995;170.285;169.79;169.89;211680
AAPL;60;230503;140000;169.87;170.75;169.06;170.06;727686
AAPL;60;230503;150000;170.03;170.46;167.16;167.46;861009
AAPL;60;230504;090000;164.84;165.5;164.315;165.17;578020
AAPL;60;230504;100000;165.16;166.22;165.01;165.94;524223
AAPL;60;230504;110000;165.95;166.88;165.53;165.76;421654
AAPL;60;230504;120000;165.765;166.64;165.43;166.58;316581
AAPL;60;230504;130000;166.62;167.04;166.02;166.37;328250
AAPL;60;230504;140000;166.38;166.39;165.31;165.615;287365
AAPL;60;230504;150000;165.61;166.34;165.09;165.79;729272
AAPL;60;230505;090000;170.93;173.75;170.76;173.09;1018158
AAPL;60;230505;100000;173.11;174.2;172.74;173.56;997879
AAPL;60;230505;110000;173.565;174.05;173.34;173.79;563728
AAPL;60;230505;120000;173.8;174.05;173.22;173.47;411732
AAPL;60;230505;130000;173.475;174.085;173.24;173.885;437288
AAPL;60;230505;140000;173.89;174.18;173.69;174.145;399514
AAPL;60;230505;150000;174.145;174.3;173.31;173.64;818138
AAPL;60;230508;090000;172.48;173.57;172.12;172.79;405112
AAPL;60;230508;100000;172.78;173.8;172.74;173.465;413754
AAPL;60;230508;110000;173.48;173.76;173.16;173.75;207794
AAPL;60;230508;120000;173.77;173.82;173.41;173.44;221644
AAPL;60;230508;130000;173.46;173.84;173.35;173.7;189594
AAPL;60;230508;140000;173.74;173.79;172.965;173.725;272121
AAPL;60;230508;150000;173.745;173.78;173.23;173.53;412817
AAPL;60;230509;090000;173.05;173.54;172.33;172.78;299932
AAPL;60;230509;100000;172.79;172.89;172.15;172.55;312739
AAPL;60;230509;110000;172.51;172.63;171.83;171.87;264902
AAPL;60;230509;120000;171.84;172.43;171.82;172.37;160222
AAPL;60;230509;130000;172.38;172.47;171.96;172.09;117369
AAPL;60;230509;140000;172.1;172.35;171.93;172.07;152977
AAPL;60;230509;150000;172.07;172.235;171.63;171.8;674027
AAPL;60;230510;090000;172.98;174.03;172.55;172.98;396433
AAPL;60;230510;100000;173;173.7;172.29;172.53;547960
AAPL;60;230510;110000;172.575;173.82;172.55;173.49;368845
AAPL;60;230510;120000;173.475;173.48;172.735;172.82;198910
AAPL;60;230510;130000;172.8;172.94;171.905;172.27;320058
