<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230818;090000;172.3;173.35;171.97;172.48;382958
AAPL;60;230818;100000;172.48;173.77;172.44;173.705;371710
AAPL;60;230818;110000;173.71;174.36;173.29;174.31;249603
AAPL;60;230818;120000;174.3;174.44;173.75;173.98;205710
AAPL;60;230818;130000;173.98;174.46;173.83;174.41;184854
AAPL;60;230818;140000;174.42;174.865;174.31;174.4;244755
AAPL;60;230818;150000;174.39;175.1;174.1;174.49;450045
AAPL;60;230821;090000;175.07;175.38;174.36;175.36;224868
AAPL;60;230821;100000;175.41;175.56;173.92;174.23;293656
AAPL;60;230821;110000;174.23;174.45;173.74;174.15;150869
AAPL;60;230821;120000;174.13;175.135;174.06;175.08;140295
AAPL;60;230821;130000;175.1;175.6;174.87;175.22;117064
AAPL;60;230821;140000;175.26;175.905;175.125;175.66;164146
AAPL;60;230821;150000;175.66;176.13;175.64;175.805;369928
AAPL;60;230822;090000;177.06;177.06;176.25;176.6;231355
AAPL;60;230822;100000;176.58;177.31;176.28;177.2;286276
AAPL;60;230822;110000;177.21;177.42;176.595;176.72;224284
AAPL;60;230822;120000;176.71;177.375;176.28;177.03;225551
AAPL;60;230822;130000;177;177.25;176.795;177.08;154992
AAPL;60;230822;140000;177.06;177.37;176.84;177.36;143357
AAPL;60;230822;150000;177.36;177.675;177.08;177.28;368601
AAPL;60;230823;090000;178.52;180.17;178.35;179.82;454060
AAPL;60;230823;100000;179.87;181.26;179.47;181.21;529154
AAPL;60;230823;110000;181.22;181.325;180.8;181.13;289556
AAPL;60;230823;120000;181.12;181.17;180.64;180.68;131086
AAPL;60;230823;130000;180.67;181.54;180.64;181.39;225922
AAPL;60;230823;140000;181.4;181.4;180.81;180.95;190832
AAPL;60;230823;150000;180.95;181.54;180.81;181.14;422145
AAPL;60;230824;090000;180.69;181.1;179.615;180.02;366963
AAPL;60;230824;100000;180.065;180.11;177.685;177.9;593037
AAPL;60;230824;110000;177.905;178.4;177.525;177.6;382635
AAPL;60;230824;120000;177.6;178.31;177.52;177.96;199053
AAPL;60;230824;130000;177.96;178.14;177.44;177.54;148274
AAPL;60;230824;140000;177.6;177.875;177.01;177.35;229706
AAPL;60;230824;150000;177.36;177.465;176.01;176.33;714645
AAPL;60;230825;090000;177.44;178.13;177.24;177.65;263835
AAPL;60;230825;100000;177.66;178.62;175.82;175.9;550237
AAPL;60;230825;110000;175.92;177.76;175.87;176.66;402757
AAPL;60;230825;120000;176.66;177.84;176.65;177.48;224190
AAPL;60;230825;130000;177.465;177.65;176.95;177.42;184838
AAPL;60;230825;140000;177.4;178.73;177.35;178.6;303325
AAPL;60;230825;150000;178.64;179.145;178.44;178.59;592889
AAPL;60;230828;090000;180.09;180.18;178.925;179.28;323401
